Datum/Zeit, PM2.5,,GRIMM-392 Temp.,,GRIMM-392 Humidity,,GRIMM-392 Pressure,,GRIMM-392 W.Speed,,GRIMM-392 W.Direct,,GRIMM-392 GpsNorth,,GRIMM-392 GpsEast,,
01.08.2015 01:00,26.69,,25.51,,76.45,,"1,005.29",,0.09,,,,14.65,,121.05,,
01.08.2015 02:00,45.16,,24.70,,81.81,,"1,005.04",,0.24,,60.96,,14.65,,121.05,,
01.08.2015 03:00,64.47,,24.25,,84.87,,"1,004.29",,0.30,,37.89,,14.65,,121.05,,
01.08.2015 04:00,68.02,,23.90,,86.74,,"1,003.95",,0.12,,48.63,,14.65,,121.05,,
01.08.2015 05:00,72.34,,23.69,,87.43,,"1,004.24",,0.27,,52.72,,14.65,,121.05,,
01.08.2015 06:00,86.02,,23.74,,87.29,,"1,004.57",,0.38,,59.98,,14.65,,121.05,,
01.08.2015 07:00,62.84,,24.94,,82.24,,"1,005.07",,0.20,,38.85,,14.65,,121.05,,
01.08.2015 08:00,42.26,,27.36,,74.01,,"1,005.46",,0.42,,15.45,,14.65,,121.05,,
01.08.2015 09:00,35.17,,29.70,,66.85,,"1,005.68",,0.60,,334.60,,14.65,,121.05,,
01.08.2015 10:00,18.32,,30.89,,60.61,,"1,005.67",,0.71,,74.92,,14.65,,121.05,,
01.08.2015 11:00,13.42,,32.03,,56.20,,"1,005.47",,0.77,,140.54,,14.65,,121.05,,
01.08.2015 12:00,18.52,,32.32,,56.49,,"1,005.15",,0.60,,246.68,,14.65,,121.05,,
01.08.2015 13:00,20.12,,32.51,,58.85,,"1,004.72",,0.67,,179.04,,14.65,,121.05,,
01.08.2015 14:00,19.88,,31.97,,60.36,,"1,004.13",,0.63,,221.98,,14.65,,121.05,,
01.08.2015 15:00,21.50,,26.86,,88.01,,"1,004.12",,0.80,,172.32,,14.65,,121.05,,
01.08.2015 16:00,15.89,,23.98,,94.75,,"1,003.93",,0.67,,220.24,,14.65,,121.05,,
01.08.2015 17:00,26.60,,24.77,,94.23,,"1,003.63",,0.34,,161.28,,14.65,,121.05,,
01.08.2015 18:00,41.20,,25.39,,94.92,,"1,003.92",,0.24,,165.03,,14.65,,121.05,,
01.08.2015 19:00,42.66,,25.48,,94.39,,"1,004.28",,0.13,,43.20,,14.65,,121.05,,
01.08.2015 20:00,63.13,,25.54,,94.46,,"1,004.83",,0.14,,178.69,,14.65,,121.05,,
01.08.2015 21:00,82.54,,25.52,,95.17,,"1,004.97",,0.24,,62.34,,14.65,,121.05,,
01.08.2015 22:00,96.66,,25.87,,94.53,,"1,005.65",,0.14,,49.59,,14.65,,121.05,,
01.08.2015 23:00,97.83,,26.03,,94.14,,"1,006.17",,0.15,,45.65,,14.65,,121.05,,
02.08.2015 00:00,100.25,,25.94,,94.46,,"1,005.85",,0.19,,205.70,,14.65,,121.05,,
02.08.2015 01:00,100.35,,25.62,,95.48,,"1,005.34",,0.18,,58.90,,14.65,,121.05,,
02.08.2015 02:00,100.05,,25.42,,95.91,,"1,005.19",,0.16,,142.46,,14.65,,121.05,,
02.08.2015 03:00,69.89,,25.14,,95.30,,"1,004.74",,0.19,,41.13,,14.65,,121.05,,
02.08.2015 04:00,54.81,,24.92,,95.20,,"1,004.55",,0.09,,195.30,,14.65,,121.05,,
02.08.2015 05:00,29.06,,24.80,,95.52,,"1,004.75",,0.25,,171.12,,14.65,,121.05,,
02.08.2015 06:00,39.74,,24.72,,96.86,,"1,005.03",,0.14,,172.75,,14.65,,121.05,,
02.08.2015 07:00,32.22,,25.05,,94.24,,"1,005.16",,0.21,,181.49,,14.65,,121.05,,
02.08.2015 08:00,15.95,,26.74,,86.55,,"1,005.42",,0.50,,345.11,,14.65,,121.05,,
02.08.2015 09:00,18.77,,27.71,,81.78,,"1,005.98",,0.48,,326.38,,14.65,,121.05,,
02.08.2015 10:00,11.27,,28.27,,77.96,,"1,006.32",,0.68,,347.70,,14.65,,121.05,,
02.08.2015 11:00,10.05,,27.91,,79.24,,"1,006.65",,0.84,,172.87,,14.65,,121.05,,
02.08.2015 12:00,11.52,,28.49,,78.66,,"1,006.11",,0.93,,177.94,,14.65,,121.05,,
02.08.2015 13:00,6.29,,29.80,,71.96,,"1,005.13",,1.01,,340.77,,14.65,,121.05,,
02.08.2015 14:00,6.11,,30.48,,68.70,,"1,004.72",,0.80,,181.59,,14.65,,121.05,,
02.08.2015 15:00,7.19,,27.32,,82.70,,"1,004.46",,0.81,,165.86,,14.65,,121.05,,
02.08.2015 16:00,10.51,,29.24,,77.25,,"1,003.63",,0.46,,320.11,,14.65,,121.05,,
02.08.2015 17:00,8.56,,30.49,,68.99,,"1,003.59",,0.50,,91.74,,14.65,,121.05,,
02.08.2015 18:00,9.69,,30.36,,67.96,,"1,003.82",,0.45,,218.90,,14.65,,121.05,,
02.08.2015 19:00,14.73,,29.21,,75.22,,"1,004.19",,0.29,,182.91,,14.65,,121.05,,
02.08.2015 20:00,17.41,,28.39,,79.26,,"1,004.82",,0.13,,168.74,,14.65,,121.05,,
02.08.2015 21:00,43.02,,27.83,,83.09,,"1,005.25",,0.12,,51.47,,14.65,,121.05,,
02.08.2015 22:00,58.31,,27.21,,86.95,,"1,005.66",,0.13,,,,14.65,,121.05,,
02.08.2015 23:00,53.88,,26.78,,89.49,,"1,005.99",,0.19,,187.75,,14.65,,121.05,,
03.08.2015 00:00,58.91,,26.31,,91.55,,"1,005.99",,0.21,,42.77,,14.65,,121.05,,
03.08.2015 01:00,50.77,,26.08,,91.33,,"1,005.54",,0.14,,36.30,,14.65,,121.05,,
03.08.2015 02:00,42.50,,25.63,,92.38,,"1,005.06",,0.12,,195.20,,14.65,,121.05,,
